conceptFrom,conceptTo,metaOntology,nodeType,Category 1,Category 2,Category 3,Country,First Name,Last Name,Gender,Suffix,Language,Acronym,Valence,Evaluation,Potency,Activity,Affect Mean,Military Role,Political Role,Religious Role ,,,
http://www.stopfake.org/en/fake-ukrainian-army-exists-on-yanukovych-money/,stopfake.org/en/fake-ukrainian-army-exists-on-yanukovych-money/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-army-tank-crushes-car-with-passenger/,stopfake.org/en/fake-ukrainian-army-tank-crushes-car-with-passenger/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-army-transported-sam-buk-with-one-missing-rocket-on-th...,stopfake.org/en/fake-ukrainian-army-transported-sam-buk-with-one-missing-rocket-on-th...,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-army-transported-sam-buk-with-one-missing-rocket-on-the-territory-controlled-by-ukraine/,stopfake.org/en/fake-ukrainian-army-transported-sam-buk-with-one-missing-rocket-on-the-territory-controlled-by-ukraine/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-athlete-attends-awards-ceremony-with-donetsk-people-s-republic-flag/,stopfake.org/en/fake-ukrainian-athlete-attends-awards-ceremony-with-donetsk-people-s-republic-flag/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-authorities-can-sequester-cars-from-all-ukrainian-citizens/,stopfake.org/en/fake-ukrainian-authorities-can-sequester-cars-from-all-ukrainian-citizens/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-biathlonist-olena-pidhrushna-kills-children-in-sloviansk/,stopfake.org/en/fake-ukrainian-biathlonist-olena-pidhrushna-kills-children-in-sloviansk/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-capital-raises-electricity-costs-to-cover-eurovision/,stopfake.org/en/fake-ukrainian-capital-raises-electricity-costs-to-cover-eurovision/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-censorship-in-reporting-militant-motorola-s-death/,stopfake.org/en/fake-ukrainian-censorship-in-reporting-militant-motorola-s-death/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-currency-s-collapse-greatly-exaggerated/,stopfake.org/en/fake-ukrainian-currency-s-collapse-greatly-exaggerated/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-fighting-vehicle-entering-donetsk-with-a-swastika/,stopfake.org/en/fake-ukrainian-fighting-vehicle-entering-donetsk-with-a-swastika/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-general-kneels-before-the-ex-ambassador-of-the-us/,stopfake.org/en/fake-ukrainian-general-kneels-before-the-ex-ambassador-of-the-us/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-mass-media-avoiding-the-topic-of-refugees/,stopfake.org/en/fake-ukrainian-mass-media-avoiding-the-topic-of-refugees/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-militaries-are-promised-a-parcel-of-land-and-two-slaves/,stopfake.org/en/fake-ukrainian-militaries-are-promised-a-parcel-of-land-and-two-slaves/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-military-bar-osce-observers-from-war-zone/,stopfake.org/en/fake-ukrainian-military-bar-osce-_Observers-from-war-zone/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-military-beat-andrey-makarevich-at-kharkiv-concert/,stopfake.org/en/fake-ukrainian-military-beat-andrey-makarevich-at-kharkiv-concert/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-military-missile-launch-gone-wrong-during-the-manoeuvres/,stopfake.org/en/fake-ukrainian-military-missile-launch-gone-wrong-during-the-manoeuvres/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-military-shelled-bus-station-in-donetsk/,stopfake.org/en/fake-ukrainian-military-shelled-bus-station-in-donetsk/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-military-shell-osce-monitors/,stopfake.org/en/fake-ukrainian-military-shell-osce-monitors/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-mobile-operators-charge-residents-of-luhansk-people-s-republic-for-antiterrorist-operation/,stopfake.org/en/fake-ukrainian-mobile-operators-charge-residents-of-luhansk-people-s-republic-for-antiterrorist-operation/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
